序号,特效,数值1%,正面词缀,负面词缀,百分比显示,非随机特效,必须随机正数,持续时间,自身持续特效,描述,特效价值类别,不自动升级,触发时机,计算战斗分,特殊介绍
96,眩晕,0.01,万钧,无,1,0,1,1,0,跳过回合,敌方,0,1,1,1
97,手臂点穴,0.01,无,无,1,1,1,-1,0,禁用武功,敌方,0,1,1,1
98,腿足点穴,0.01,无,无,1,1,1,-1,0,无法移动;禁用轻功,敌方,0,1,1,1
99,心胸点穴,0.01,无,无,1,1,1,-1,0,力道/经脉-30%;禁用内功,敌方,0,1,1,1
100,腰腹点穴,0.01,无,无,1,1,1,-1,0,灵巧/体质-30%;禁用绝技,敌方,0,1,1,1
101,头颈点穴,0.01,无,无,1,1,1,-1,0,智力/意志/负面抗性-30%,敌方,0,1,1,1
102,虚弱,0.01,虚弱,无,1,0,1,3,0,伤害-50%,敌方,0,1,1,1
103,横练,0.01,横练,无,1,0,1,2,1,护甲+50%,我方,0,2,1,1
104,破甲,0.01,破甲,无,1,0,1,3,0,护甲-50%,敌方,0,1,1,1
105,轻灵,0.01,轻灵,无,1,0,1,2,1,速度+50%,我方,0,1,1,1
106,迟缓,0.01,迟缓,无,1,0,1,2,0,速度-50%,敌方,0,1,1,1
107,鹰眼,0.01,鹰视,无,1,0,1,3,1,命中+50%,我方,0,1,1,1
108,目盲,0.01,刺目,无,1,0,1,3,0,命中-50%,敌方,0,1,1,1
109,飘逸,0.01,飘逸,无,1,0,1,2,1,闪避+50%,我方,0,1,1,1
110,笨拙,0.01,笨拙,无,1,0,1,2,0,闪避-50%,敌方,0,1,1,1
111,霸体,0.01,霸体,无,1,0,1,1,1,受伤-50%,我方,0,2,1,1
112,弱点,0.01,弱点,无,1,0,1,2,0,受伤+50%,敌方,0,1,1,1
113,疯魔,0.01,疯魔,无,1,0,1,2,1,伤害/暴击+30%;敌我不分,我方,0,1,1,1
114,混乱,0.01,混乱,无,1,0,1,2,0,敌我不分,敌方,0,1,1,1
115,死战,0.01,背水,无,1,0,1,0,0,双方生命越少伤害越高,伤害,0,1,1,1
116,穿甲,0.01,锐利,无,1,0,1,0,0,无视护甲,敌方,0,1,1,1
117,壮骨,0.01,壮骨,无,1,0,1,3,1,力道+50%,我方,0,1,1,1
118,断骨,0.01,断骨,无,1,0,1,2,0,力道-50%,敌方,0,1,1,1
119,舒筋,0.01,舒筋,无,1,0,1,3,1,灵巧+50%,我方,0,1,1,1
120,伤筋,0.01,伤筋,无,1,0,1,2,0,灵巧-50%,敌方,0,1,1,1
121,醒脑,0.01,醒脑,无,1,0,1,3,1,智力+50%,我方,0,1,1,1
122,震脑,0.01,震脑,无,1,0,1,2,0,智力-50%,敌方,0,1,1,1
123,定神,0.01,定神,无,1,0,1,3,1,意志+50%,我方,0,1,1,1
124,乱神,0.01,乱神,无,1,0,1,2,0,意志-50%,敌方,0,1,1,1
125,活血,0.01,活血,无,1,0,1,3,1,体质+50%,我方,0,1,1,1
126,凝血,0.01,凝血,无,1,0,1,2,0,体质-50%,敌方,0,1,1,1
127,通脉,0.01,通脉,无,1,0,1,3,1,经脉+50%,我方,0,1,1,1
128,截脉,0.01,截脉,无,1,0,1,2,0,经脉-50%,敌方,0,1,1,1
129,复生,0.01,无,无,1,1,1,0,0,被击倒后恢复生命,我方,0,2,1,1
130,反伤,0.01,软猬,无,1,0,1,0,0,受伤时反馈伤害,伤害,0,2,1,1
131,反伤吸内,0.02,无,无,1,1,1,0,0,受伤时吸取内力,伤害,0,2,1,1
132,反伤削内,0.04,无,无,1,1,1,0,0,受伤时削除内力,伤害,0,2,1,1
133,击退,1,无,无,0,1,1,0,0,将目标击退,敌方,1,1,1,1
134,拉近,1,无,无,0,1,1,0,0,将目标拉近,敌方,1,1,1,1
135,慧眼,0.01,慧眼,无,1,0,1,3,1,暴击+50%,我方,0,1,1,1
136,昏沉,0.01,昏沉,无,1,0,1,3,0,暴击-50%,敌方,0,1,1,1
137,铜皮,0.01,铜皮,无,1,0,1,2,1,卸力+50%,我方,0,2,1,1
138,脆弱,0.01,脆弱,无,1,0,1,2,0,卸力-50%,敌方,0,1,1,1
139,不屈,0.01,不屈,无,1,0,1,2,1,反击+50%,我方,0,2,1,1
140,重碾,0.01,重碾,无,1,0,1,3,1,压制+50%,我方,0,1,1,1
141,连绵,0.01,连绵,无,1,0,1,3,1,连击+50%,我方,0,1,1,1
142,断腕,0.01,断腕,无,1,0,1,3,0,连击-50%,敌方,0,1,1,1
143,断招,0.01,断招,无,1,0,1,2,1,断连+50%,我方,0,2,1,1
144,阻滞,0.01,阻滞,无,1,0,1,2,0,断连-50%,敌方,0,1,1,1
145,杀机,0.01,杀机,无,1,0,1,3,1,伤害+50%,我方,0,1,1,1
146,康复,0.01,康复,无,1,0,1,3,1,恢复效率+50%,我方,0,1,1,1
147,不愈,0.01,不愈,无,1,0,1,3,0,恢复效率-50%,敌方,0,1,1,1
148,坚毅,0.01,坚毅,无,1,0,1,2,1,负面抗性+50%,我方,0,2,1,1
149,动摇,0.01,动摇,无,1,0,1,2,0,负面抗性-50%,敌方,0,1,1,1
150,内劲,0.01,无,无,1,1,1,0,0,根据内力差造成真伤,伤害,0,1,1,1
151,真伤,0.01,无,无,1,1,1,0,0,无法防御的固定伤害,伤害,0,1,1,1
152,回血,0.001,回血,无,1,0,1,0,0,每回合百分比恢复生命,我方,0,0,1,1
153,回内,0.0015,回内,无,1,0,1,0,0,每回合百分比恢复内力,我方,0,0,1,1
154,回体,0.2,回体,无,0,0,1,0,0,每回合恢复体力,我方,0,0,1,1
155,自愈,0.5,无,无,0,1,1,0,0,每回合消耗内力治疗伤势,我方,0,0,1,1
156,护头,1,护头,无,0,0,1,0,0,每回合提升头部架势,我方,0,0,1,1
157,护心,1,护心,无,0,0,1,0,0,每回合提升心部架势,我方,0,0,1,1
158,护胸,1,护胸,无,0,0,1,0,0,每回合提升胸部架势,我方,0,0,1,1
159,护腹,1,护腹,无,0,0,1,0,0,每回合提升腹部架势,我方,0,0,1,1
160,护手,1,护手,无,0,0,1,0,0,每回合提升手部架势,我方,0,0,1,1
161,护足,1,护足,无,0,0,1,0,0,每回合提升足部架势,我方,0,0,1,1
162,护体真气,0.02,无,无,1,1,1,0,0,消耗内力抵消伤害,伤害,0,2,1,1
163,反弹,0.005,无,无,1,1,1,0,0,降低所受伤害并反弹,伤害,0,2,1,1
164,减伤,0.5,减伤,无,0,0,1,0,0,固定减少伤害,我方,0,2,1,1
165,定身,0.01,无,无,1,1,1,-1,0,停止行动条,敌方,0,1,1,1
166,移距,0.2,无,无,0,1,1,0,0,改变移动距离,我方,0,0,1,1
167,神行,0.01,遁地,无,1,0,1,3,1,移动距离+75%,我方,0,1,1,1
168,裂膝,0.01,裂膝,无,1,0,1,2,0,移动距离-75%,敌方,0,1,1,1
169,破招,0.01,无,无,1,1,1,0,0,无视守招的架势防御,伤害,0,1,1,1
170,拆招,0.01,无,无,1,1,1,0,0,无视攻招的架势削减,伤害,0,2,1,1
171,斗转,0.01,无,无,1,1,1,0,0,转移攻击至周边三格,伤害,0,2,1,1
172,声望获取,0.01,无,无,1,1,1,0,0,声望获取,伤害,0,0,0,0
173,功绩获取,0.01,无,无,1,1,1,0,0,弟子功绩,伤害,0,0,0,0
174,旅行速度,0.01,无,无,1,1,1,0,0,旅行速度,伤害,0,0,0,0
175,疗伤效率,0.01,无,无,1,1,1,0,0,疗伤效率,伤害,0,0,0,0
176,实战经验,0.02,无,无,1,1,1,0,0,实战经验,伤害,0,0,0,0
177,理论经验,0.02,无,无,1,1,1,0,0,理论经验,伤害,0,0,0,0
178,技艺经验,0.01,无,无,1,1,1,0,0,技艺经验,伤害,0,0,0,0
179,内功经验,0.04,无,无,1,1,1,0,0,内功经验,伤害,0,0,0,0
180,轻功经验,0.04,无,无,1,1,1,0,0,轻功经验,伤害,0,0,0,0
181,绝技经验,0.04,无,无,1,1,1,0,0,绝技经验,伤害,0,0,0,0
182,拳掌经验,0.04,无,无,1,1,1,0,0,拳掌经验,伤害,0,0,0,0
183,剑法经验,0.04,无,无,1,1,1,0,0,剑法经验,伤害,0,0,0,0
184,刀法经验,0.04,无,无,1,1,1,0,0,刀法经验,伤害,0,0,0,0
185,长兵经验,0.04,无,无,1,1,1,0,0,长兵经验,伤害,0,0,0,0
186,奇门经验,0.04,无,无,1,1,1,0,0,奇门经验,伤害,0,0,0,0
187,射术经验,0.04,无,无,1,1,1,0,0,射术经验,伤害,0,0,0,0
188,医术经验,0.04,无,无,1,1,1,0,0,医术经验,伤害,0,0,0,0
189,毒术经验,0.04,无,无,1,1,1,0,0,毒术经验,伤害,0,0,0,0
190,学识经验,0.04,无,无,1,1,1,0,0,学识经验,伤害,0,0,0,0
191,口才经验,0.04,无,无,1,1,1,0,0,口才经验,伤害,0,0,0,0
192,采伐经验,0.04,无,无,1,1,1,0,0,采伐经验,伤害,0,0,0,0
193,木植经验,0.04,无,无,1,1,1,0,0,木植经验,伤害,0,0,0,0
194,锻造经验,0.04,无,无,1,1,1,0,0,锻造经验,伤害,0,0,0,0
195,炼药经验,0.04,无,无,1,1,1,0,0,炼药经验,伤害,0,0,0,0
196,烹饪经验,0.04,无,无,1,1,1,0,0,烹饪经验,伤害,0,0,0,0
197,买卖优势,0.01,无,无,1,1,1,0,0,买卖优势,伤害,0,0,0,0
198,拳掌距离,1,无,无,0,1,1,0,0,拳掌攻击距离,我方,1,0,1,0
199,剑法距离,1,无,无,0,1,1,0,0,剑法攻击距离,我方,1,0,1,0
200,刀法距离,1,无,无,0,1,1,0,0,刀法攻击距离,我方,1,0,1,0
201,长兵距离,1,无,无,0,1,1,0,0,长兵攻击距离,我方,1,0,1,0
202,奇门距离,1,无,无,0,1,1,0,0,奇门攻击距离,我方,1,0,1,0
203,射术距离,1,无,无,0,1,1,0,0,射术攻击距离,我方,1,0,1,0
204,坐骑加成,0.004,无,无,1,1,1,0,0,坐骑加成轻功/力道/体质/意志,我方,0,0,0,1
205,装备强化,0.002,无,无,1,1,1,0,0,提升装备基础效果,我方,0,0,0,1
206,抗耐药性,0.02,无,无,1,1,0,0,0,减少服食丹药产生的耐药性,我方,0,0,1,1
207,装备负重,1,重装,简装,0,1,0,0,0,提升装备负重,我方,0,0,0,0
208,机关伤害,0.02,无,无,1,1,1,0,0,提升机关建构的伤害,我方,0,0,1,0
209,机关速度,0.02,无,无,1,1,1,0,0,提升机关建构的速度,我方,0,0,1,0
210,机关耐久,0.02,无,无,1,1,1,0,0,提升机关建构的生命,我方,0,0,1,0
211,城防耐久,0.02,无,无,1,1,1,0,0,提升城防建筑耐久,我方,0,0,0,0
212,好感获取,0.01,无,无,1,1,1,0,0,提升好感获取,我方,0,0,0,0
213,本门武学威力,0.01,无,无,1,1,0,0,0,本门武学威力,伤害,0,0,1,0
214,恶名减少,0.005,无,无,1,1,0,0,0,减少恶名,伤害,0,0,1,0
