id,名字,行事风格,等级,门派地点ID,颜色,特殊武功,特殊好感设定,男性比例,武功专长,技艺专长,特色物品,大帮派,自动补充弟子,默认皮肤,门派特性
13,蓬莱派,仁义,3,43,fcc4d2,,,0.5,内功;剑法;奇门,学识,秘籍:0.5,1,1,13,<b>万剑</b>：蓬莱阁研究剑法兵器，提升剑法威力。\n<b>归宗</b>：每满级一门剑法武学，根据武学品级额外提升0.5/1/1.5/2/2.5/3点剑法。
14,峨眉派,仁义,4,44,affac8,,,0.5,内功;轻功;拳掌,木植,材料:1,1,1,14,<b>自然</b>：通过自然修行获取峨嵋派武学加成。\n<b>灵悟</b>：突破效率+20%，突破选项+1且突破加成额外提升1个级别。
15,崆峒派,霸业,3,45,3e92aa,,,0.5,绝技;奇门;长兵,毒术,马匹:1,1,1,15,<b>奇技</b>：七十二洞研究奇门兵器，提升奇门威力。\n<b>百出</b>：每满级一门奇门武学，根据武学品级额外提升0.5/1/1.5/2/2.5/3点奇门。
16,神机门,仁义,4,46,3eaa66,,,0.5,奇门;射术;绝技,学识;锻造,装备:1.5,1,1,16,<b>机关</b>：使用装备改装升级机关兽，获取对应的机关兽加成。\n<b>杂学</b>：所有技艺经验+20%，收集资源时更易获得高级珍宝/材料，珍宝鉴定额外学识加成。
17,霹雳堂,中庸,3,47,d72724,,,0.5,射术;绝技;长兵,锻造,材料:2,1,1,17,<b>火药</b>：通过配置火药提升霹雳堂武学和灼烧武学效果。\n<b>灼烧</b>：每满级一门灼烧武学，根据武学品级额外提升0.5%/1%/1.5%/2%/2.5%/3%负面加成。\n<b>重烩</b>：在火炼室可重烩饮食获取对应食材。
18,金刚密宗,霸业,5,48,695180,,,0.5,内功;绝技;奇门,烹饪,饮食:1.5,1,1,18,<b>密宗</b>：通过密宗修行获取金刚宗武学加成。\n<b>灌顶</b>：教化野外恶徒或其他侠士，将他人立场向混乱凶狠改变，并提升好感和声望。
19,天山派,霸业,4,49,445c6a,,,0.4,轻功;内功;拳掌,医术,丹药:1,1,1,19,<b>玄冰</b>：通过凝结玄冰提升天山派武学和冰寒武学效果。\n<b>冰寒</b>：每满级一门冰寒武学，根据武学品级额外提升2/4/6/8/10/12点内力上限。
20,聚义门,仁义,2,50,ABABAB,207/223/241,,0.5,内功;拳掌;长兵,无,丹药:0.5,0,1,-7,<b>聚义</b>：内功经验+20%，医术经验+20%。
21,黄河帮,霸业,0,51,ABABAB,,,0.5,轻功;刀法,无,珍宝:0.5,0,1,-8,<b>黄河</b>：刀法经验+20%，毒术经验+20%。
22,八卦门,仁义,1,52,ABABAB,,,0.5,绝技;剑法;奇门,无,秘籍:0.25,0,1,-5,<b>八卦</b>：奇门经验+20%，学识经验+20%。
23,海沙帮,中庸,0,53,ABABAB,,,0.5,绝技;刀法,无,材料:0.5,0,1,-9,<b>海沙</b>：绝技经验+20%，烹饪经验+20%。
24,铁掌帮,霸业,1,54,ABABAB,6/11/32/47/62/117/138/151/196/210/225,,0.5,内功;拳掌,无,装备:0.5,0,0,-10,<b>铁掌</b>：拳掌经验+20%，锻造经验+20%。
25,仙霞派,中庸,0,55,ABABAB,0/4/7/9/12/16/20/21/24/31/39/52/61/68/126/149/157/230,14-60;24-25,0.5,剑法,无,秘籍:0.25,0,0,-99,<b>仙霞</b>：所有经验获取+5%。
26,巨鲸帮,中庸,1,56,ABABAB,,,0.5,轻功;射术,无,饮食:0.5,0,1,-4,<b>巨鲸</b>：轻功经验+20%，采伐经验+20%。
27,金龙帮,中庸,2,57,ABABAB,,,0.5,内功;射术,无,珍宝:0.5,0,1,-3,<b>金龙</b>：射术经验+20%，口才经验+20%。
28,青城派,霸业,1,58,ABABAB,,,0.5,轻功;奇门;剑法,无,装备:0.5,0,1,-6,<b>青城</b>：剑法经验+20%，炼药经验+20%。
29,伏牛派,仁义,0,59,ABABAB,,,0.5,绝技;长兵,无,马匹:0.5,0,1,-2,<b>伏牛</b>：长兵经验+20%，木植经验+20%。
