id,名字,性别,门派,武学流派,等级,实力等级,性格,资质,年龄,立场,擅长武学,擅长技艺,绝学,标签,绰号,隐藏,出师角色,关系设定,皮肤ID,特殊skeleton
49,司马.德源,男,峨眉派,默认,掌门,-1,忠厚,超群,68,守序/仁慈,拳掌,木植,三洞灵宝经;天罡指穴功,隐士;拳不离手;坚若磐石;炉火纯青;飞檐走壁;顺脉;仁慈;丑陋,白眉真人,0,0,,-99,0
50,李.潇湘,女,峨眉派,默认,副掌门,-1,固执,聪颖,36,戒律/冷酷,剑法,,诸天化身步;灭心绝情剑,淡泊;剑随意动;炉火纯青;飞檐走壁;丹青妙手;脉络贯通;木植,潇湘真人,0,0,,-99,0
51,白.云天,女,峨眉派,默认,亲传弟子,6,纯粹,究极,18,平常/仁慈,内功/轻功/剑法,木植,三洞灵宝经;诸天化身步,武学天才;七窍玲珑;聪慧绝伦;奇经八脉;仙风道骨;四大皆空;未卜先知;炉火纯青;神出鬼没;吉人天相,白云子,0,0,,-99,1
52,曲.自封,男,崆峒派,默认,掌门,-1,叛逆,超群,43,戒律/冷酷,奇门/长兵,,斗转星移;乾坤日月圈;玉石俱焚矛,心狠手辣;旁门左道;内力精纯;绝艺超群;百病不侵;杂学;临危不乱,紫髯道人,0,0,,-99,0
53,闻.惊鸿,女,崆峒派,默认,副掌门,-1,固执,聪颖,32,混乱/凶狠,奇门,,斗转星移;生死一线鞭,灭心绝情;旁门左道;内家;绝艺超群;容光焕发;通才;身先士卒,绝情道人,0,0,,-99,0
54,墨.璇玑,女,神机门,默认,掌门,-1,简单,究极,21,平常/仁慈,奇门,锻造,公输遗匣,机关大师;机关铁轮;能工巧匠;聪慧绝伦;旧病沉疴;奇门遁甲;百步穿杨;瘦骨嶙峋;旷世奇才;脉络阻塞,天工巧匠,0,0,亲属:55,-99,0
55,墨.从义,男,神机门,默认,副掌门,-1,灵活,聪颖,23,混乱/善良,射术,木植,武库战车;元戎弩箭,机关大师;机关铁甲;能工巧匠;足智多谋;多病;例无虚发;旁门左道;天资过人;巧捷万端;滞脉,病鲁班,0,0,,-99,0
56,雷.震天,男,霹雳堂,默认,掌门,-1,稳重,超群,45,戒律/冷酷,射术/长兵,锻造,灭世天雷,胸怀大志;千锤百炼;能工巧匠;百步穿杨;绝技;聪慧;滞脉;多病,掣地霹雳,0,0,亲属:57/58/151,-99,0
57,雷.冠群,男,霹雳堂,默认,副掌门,-1,轻佻,聪颖,23,混乱/凶狠,长兵/射术,,火树银枪,锻造;学徒;放歌纵酒;云游;长兵;绝技;脉络阻塞;瘦骨嶙峋,烁金枪,0,0,亲属:58/151,-99,0
58,雷.彤,女,霹雳堂,默认,副掌门,-1,灵活,平平,19,无序/中立,射术,,神火飞鸦,美貌;千锤百炼;工匠;射术;轻功;滞脉;多病;天资过人,燎原火凤,0,0,亲属:151,-99,0
59,转轮.法王,男,金刚密宗,默认,掌门,-1,固执,聪颖,55,戒律/凶狠,奇门,,龙象护法功;观想日月轮,禅师;旁门左道;耍刀;炉火纯青;身怀绝技;力道;百病不侵;灵丹妙药,龙象护法,0,0,,-99,0
60,金刚.法王,男,金刚密宗,默认,副掌门,-1,简单,平平,65,无序/中立,刀法,,大日如来功;无上大力杵,四大皆空;一刀两断;奇门;内力精纯;绝艺超群;奇经八脉;先天气海,灵童转世,0,0,,-99,0
61,真言.法王,女,金刚密宗,默认,副掌门,-1,灵活,超群,42,混乱/冷酷,奇门/刀法,烹饪,因陀罗杵;无苦寂灭刀,禅师;运气自如;先天气海;炉火纯青;绝技;奇技;对症下药,慧眼明王,0,0,,-99,0
62,凌.北渊,女,天山派,默认,掌门,-1,叛逆,超群,38,守序/凶狠,拳掌/剑法,,不老长春功;仙娥折梅;白虹贯日掌,倾国倾城;拳不离手;御剑;神出鬼没;炉火纯青;取予有节;脱胎换骨;避世绝俗,天山仙子,0,0,,-99,0
63,云.九霄,男,天山派,默认,副掌门,-1,忠厚,聪颖,29,平常/善良,拳掌/剑法,医术,白虹贯日掌;九霄冲天剑,正直;拳不离手;飞檐走壁;内力精纯;忠心耿耿;棋高一着;忠诚,雪山飞鸿,0,0,,-99,0
64,江.映寒,女,天山派,默认,长老,-1,纯粹,超群,26,无序/仁慈,剑法,,仙娥折梅;清虚广寒剑,明眸皓齿;剑随意动;飞檐走壁;内力精纯;谦逊;余音绕梁,冷月寒江,0,0,,-99,0
65,夏.天雄,男,铁掌帮,默认,掌门,-1,算计,超群,38,戒律/凶狠,,,潮起月盈功;劈金碎玉掌,雄才伟略;拳不离手;坚若磐石;内家;身怀绝技,,0,0,,-99,0
66,叶.一鸣,女,铁掌帮,默认,长老,-1,轻佻,聪颖,32,无序/冷酷,,,劈金碎玉掌,精明强干;拳掌;刚愎;暴躁,铁掌双雄,0,0,,-99,0
67,韩.嵩,男,铁掌帮,默认,长老,-1,稳重,平平,44,混乱/中立,,,潮起月盈功,唯命是从;拳不离手;残忍;冷静,铁掌双雄,0,0,,-99,0
68,陆.奇,男,铁掌帮,默认,亲传弟子,-1,叛逆,超群,26,守序/凶狠,,,,排兵布阵;拳掌;懒惰,铁掌四杰,0,0,,-99,0
69,吕.子芳,女,铁掌帮,默认,亲传弟子,-1,潇洒,聪颖,29,平常/凶狠,,,,叛逆;浪费,铁掌四杰,0,0,,-99,0
70,公孙.防,男,铁掌帮,默认,正式弟子,-1,简单,愚钝,28,戒律/中立,,,,忠诚;愚钝,铁掌四杰,0,0,朋友:71,-99,0
71,狄.坤,男,铁掌帮,默认,正式弟子,-1,忠厚,平平,30,守序/冷酷,,,,阴险;不幸,铁掌四杰,0,0,,-99,0
72,万.仞山,男,聚义门,默认,掌门,-1,稳重,超群,36,平常/仁慈,,,,学佛;正直;木植;静修,,0,0,,-99,0
73,卓.远望,男,黄河帮,默认,掌门,-1,纯粹,平平,32,守序/冷酷,,,,挥霍无度;酒鬼;烹饪,,0,0,,-99,0
74,陆.离,女,八卦门,默认,掌门,-1,忠厚,聪颖,34,守序/善良,,,,练武;游侠;美貌,,0,0,,-99,0
75,卫.海川,女,海沙帮,默认,掌门,-1,固执,平平,31,无序/凶狠,,,,工匠;暴躁;铸山煮海,,0,0,,-99,0
76,沈.蛟,男,巨鲸帮,默认,掌门,-1,轻佻,平平,35,混乱/中立,,,,赌徒;懒惰;锻造;狩猎,,0,0,,-99,0
77,上官.雯,女,金龙帮,默认,掌门,-1,叛逆,超群,33,戒律/凶狠,,,,经商;口才;足智多谋,,0,0,,-99,0
78,周.莫知,男,青城派,默认,掌门,-1,算计,聪颖,34,平常/冷酷,,,,节俭;收藏;从政,,0,0,,-99,0
79,陌.田桑,女,伏牛派,默认,掌门,-1,简单,平平,38,平常/善良,,木植,,勤奋;强身健体;在世神农;精耕细作,,0,0,,-99,0
80,武.绝义,男,无,飞龙门,副掌门,6,固执,超群,49,戒律/凶狠,长兵,,逆转周天大法,唯我独尊;醉生梦死;心狠手辣;枪扫六合;枪芒;拔山扛鼎;钢筋铁骨;刀枪不入;绝艺超群,绝情断义,0,1,,-99,1
81,黄.泉,男,无,唐门,副掌门,5,简单,聪颖,55,平常/冷酷,射术,,,笑里藏刀;心狠手辣;神出鬼没;例无虚发;惊弓;七窍玲珑;避世绝俗,鬼见愁,0,1,,-99,0
82,玉.观音,女,无,金刚密宗,副掌门,5,纯粹,超群,35,戒律/凶狠,奇门,,,灭心绝情;动心忍性;美貌;四大皆空;离经叛道;旁门左道;奇异莫名,骷髅红粉,0,1,,-99,0
83,雨.人屠,男,无,阎罗殿,副掌门,5,叛逆,平平,33,混乱/凶狠,刀法,,,残忍;怒发冲冠;一刀两断;魁梧奇伟;拔山扛鼎;百丑千拙;笨手笨脚,雨夜狂屠,0,1,,-99,0
84,上官.凤,女,无,天山派,长老,4,潇洒,超群,29,平常/中立,剑法,,,倾国倾城;穷奢极欲;排兵布阵;舌灿莲花;剑随意动;飞檐走壁;赌运亨通,刺骨冰寒,0,1,,-99,0
85,计.心狂,男,无,五毒教,长老,4,算计,究极,26,无序/冷酷,拳掌,,,运筹帷幄;笑里藏刀;聪慧绝伦;未卜先知;见血封喉;拳不离手;例无虚发;神出鬼没,诡计毒谋,0,1,,-99,1
86,慕容.星辰,女,无,长乐帮,长老,4,轻佻,超群,22,守序/善良,轻功,,醉梦鱼龙舞,七窍玲珑;神出鬼没;口齿伶俐;巧捷万端;明眸皓齿;目光炯炯;去伪存真;福星高照,摘月偷星,0,1,,-99,1
87,幽.冥,男,无,崆峒派,长老,4,算计,聪颖,31,守序/凶狠,奇门,,,飞檐走壁;奇门遁甲;足智多谋;经脉;叛逆,四大杀手,0,1,,-99,0
88,魅.影,女,无,唐门,长老,4,轻佻,超群,24,混乱/善良,射术,,,神出鬼没;百步穿杨;手疾眼快;惊弓;隐士,四大杀手,0,1,,-99,0
89,血.刃,男,无,霸刀门,长老,4,纯粹,平平,36,平常/凶狠,刀法,,,身怀绝技;一刀两断;外门;孔武有力;暴躁,四大杀手,0,1,,-99,0
90,残.阳,男,无,铸剑山庄,长老,4,叛逆,聪颖,27,无序/冷酷,剑法,,,内力精纯;人剑合一;轻功;动心忍性;工匠,四大杀手,0,1,,-99,0
91,厉.苍穹,男,无,默认,长老,4,叛逆,聪颖,42,守序/凶狠,刀法,,战八方藏刀式,怒发冲冠;横刀跃马;外门,刀劳鬼,0,0,,-10,0
92,迟.百城,男,无,默认,亲传弟子,3,稳重,聪颖,45,戒律/冷酷,射术,,,不择手段;射术;轻功,拘魂鬼,0,0,,-8,0
93,费.彬,男,无,默认,亲传弟子,3,简单,平平,37,守序/仁慈,拳掌,,,心狠手辣;拳掌;内家;多病;五毒俱全,痨病鬼,0,0,,-9,0
94,岳.无畏,男,无,默认,正式弟子,2,固执,平平,35,无序/中立,长兵,,,性烈如火;长兵;绝技,山魈鬼,0,0,,-8,0
95,高.首,男,无,默认,正式弟子,1,轻佻,愚钝,31,混乱/善良,奇门,,,胆小如鼠;刚愎;懒惰,魍魉鬼,0,0,,-9,0
96,王.彪,男,无,黄河帮,入门弟子,1,轻佻,平平,33,无序/凶狠,拳掌,,,盛气凌人;勇敢;赌徒,黄河双煞,0,0,结义:97;师傅:73,-99,0
97,马.悍,男,无,黄河帮,入门弟子,1,叛逆,愚钝,30,平常/冷酷,刀法,,,暴躁;忠诚;酒鬼,黄河双煞,0,0,师傅:73,-99,0
98,凤.南飞,男,无,默认,长老,4,算计,超群,48,守序/冷酷,奇门,,,笑里藏刀;善贾;收藏;学识,乐善好施,0,0,,-3,0
99,裘.龙,男,无,默认,亲传弟子,3,固执,平平,43,无序/中立,长兵,,,心狠手辣;酒鬼;浪费,入林龙,0,0,,-8,0
100,张.成化,男,无,默认,正式弟子,2,灵活,聪颖,39,混乱/中立,射术,,,桀骜不驯;练武;勤奋,化虎成龙,0,0,,-4,0
101,曾.镇海,男,无,默认,正式弟子,2,稳重,愚钝,40,戒律/凶狠,刀法,,,盛气凌人;纵马驰骋;面目狰狞,翻江镇海,0,0,,-8,0
102,宋.明公,男,无,默认,正式弟子,2,忠厚,聪颖,45,戒律/仁慈,剑法,,,谦逊;战战兢兢;从政;领袖,及时雨,0,0,,-3,0
103,戴.壮,男,无,默认,入门弟子,1,简单,平平,33,守序/善良,拳掌,,劈柴刀法;通臂拳,康健;笨拙;宅心仁厚;务农,乐山大患,0,0,,-2,0
104,马.应龙,男,无,默认,亲传弟子,3,稳重,平平,52,戒律/冷酷,刀法,,,纵马驰骋;横刀跃马;大快朵颐,西北四骏,0,0,亲属:105/106/107,-8,0
105,马.超群,男,无,默认,正式弟子,2,叛逆,超群,39,无序/凶狠,长兵,,,纵马驰骋;长兵;勤奋,西北四骏,0,0,亲属:106/107,-7,0
106,马.丹心,女,无,默认,入门弟子,1,忠厚,聪颖,26,无序/仁慈,剑法,,,骑术;御剑;忠诚,西北四骏,0,0,亲属:107,-4,0
107,马.宝郭,男,无,默认,外门弟子,0,简单,愚钝,46,混乱/中立,拳掌,,,骑术;笨拙;刚愎;吟诗,西北四骏,0,0,,-2,0
108,郝.大力,男,无,默认,外门弟子,0,忠厚,愚钝,26,混乱/仁慈,拳掌,,,强壮;笨拙;务农;愚钝,神拳无敌,0,0,结义:109/110,-2,0
109,汪.财,男,无,默认,外门弟子,0,纯粹,愚钝,23,混乱/善良,奇门,,,经商;瘦弱;精打细算;愚钝,富可敌国,0,0,结义:110,-3,0
110,吴.谋,男,无,默认,外门弟子,0,算计,愚钝,22,无序/善良,射术,,,读书;多病;懦弱;傻头傻脑,智计无双,0,0,,-6,0
111,熊.百胜,男,无,默认,亲传弟子,3,纯粹,平平,39,平常/凶狠,刀法,,,耍刀;懒惰;刚愎;领袖;挥霍无度,黑风寨大当家,0,0,,-8,0
112,朱.全,男,无,默认,正式弟子,2,潇洒,聪颖,42,守序/冷酷,拳掌,,,阴险;残忍,黑风寨二当家,0,0,,-9,0
113,严.达开,男,无,默认,正式弟子,2,稳重,平平,34,戒律/凶狠,长兵,,,性烈如火;勇敢,黑风寨三当家,0,0,,-8,0
114,冯.虎,男,无,默认,入门弟子,1,算计,聪颖,33,守序/中立,刀法,,,暴躁;随从,黑风四贼,0,0,朋友:115/116/117,-8,0
115,刘.豹,男,无,默认,入门弟子,1,潇洒,平平,36,平常/冷酷,拳掌,,,残忍;叛逆,黑风四贼,0,0,朋友:116/117,-9,0
116,黄.豺,男,无,默认,外门弟子,0,轻佻,愚钝,28,混乱/冷酷,射术,,,阴险;弱视,黑风四贼,0,0,朋友:117,-8,0
117,韩.狼,女,无,默认,外门弟子,0,灵活,平平,31,混乱/凶狠,奇门,,,懦弱;瘦骨嶙峋,黑风四贼,0,0,,-8,0
118,吴.忧,女,无,大隐阁,副掌门,5,灵活,聪颖,48,无序/仁慈,轻功/奇门,,,避世绝俗;气定神闲;虚怀若谷;鸾吟凤唱;飞檐走壁;奇门遁甲;儒术,中原五侠,0,1,,-99,0
119,孟.经世,男,无,霸刀门,副掌门,5,算计,平平,56,守序/冷酷,绝技/刀法,,,囤积居奇;暴躁;盛气凌人;公正不阿;身怀绝技;横刀跃马;笔走龙蛇,中原五侠,0,1,,-99,0
120,郭.淮,男,无,丐帮,副掌门,6,忠厚,愚钝,45,戒律/仁慈,内功/拳掌,,,侠义无双;武痴;浩气凛然;宅心仁厚;炉火纯青;铁手钢拳;愚钝;排山倒海;百折不挠;钢筋铁骨,中原五侠,0,1,,-99,1
121,吕.天行,男,无,蓬莱派,副掌门,5,潇洒,聪颖,51,平常/中立,轻功/剑法,,,淡泊;蛰居偃伏;不骄不躁;博览群书;神出鬼没;剑随意动;剑气,中原五侠,0,1,,-99,0
122,何.足道,男,无,茅山派,副掌门,5,灵活,超群,42,混乱/善良,内功/剑法,,,道士;侠客;浪迹天涯;文思泉涌;内力精纯;人剑合一;卜算,中原五侠,0,1,,-99,0
123,楚.风疾,男,无,大隐阁,长老,4,灵活,超群,32,守序/善良,射术,,,神出鬼没;百步穿杨;足智多谋;明察秋毫;公正不阿;领袖,敕封御史之风,0,1,结义:124/125/126,-99,0
124,林.弄影,女,无,峨眉派,长老,4,潇洒,聪颖,25,无序/仁慈,剑法,,,飞檐走壁;剑随意动;手疾眼快;桀骜不驯;懒惰;随机应变;游斗,敕封御史之林,0,1,结义:125/126,-99,0
125,齐.焱,男,无,飞龙门,长老,4,叛逆,超群,28,戒律/中立,长兵,,,内力精纯;枪扫六合;强身健体;性烈如火;面目狰狞;先锋,敕封御史之火,0,1,结义:126,-99,0
126,张.峻,男,无,少林寺,长老,4,稳重,平平,34,守序/仁慈,拳掌,,,绝艺超群;拳不离手;百折不挠;不骄不躁;冷静;守备,敕封御史之山,0,1,,-99,0
127,项.问天,男,无,飞龙门,亲传弟子,3,忠厚,超群,29,戒律/仁慈,刀法,,,浩气凛然;废寝忘食;侠客;耍刀;强身健体,侠义七子,0,1,,-99,0
128,郭.勇锐,男,无,丐帮,亲传弟子,1,简单,平平,26,平常/善良,拳掌,,,正直;忠心耿耿;傻头傻脑;勇敢,侠义七子,0,1,,-99,0
