id,类别,等级,名字,描述,基础威力,经验系数,修炼效果,运功效果,威力系数,修炼需求,攻击范围,伤害范围,使用特效,内力消耗,所属势力,使用目标,攻击架势,防御架势,召唤ID,使用次数,动作,子弹,特效,使用武器,伤害顺序,角色位移,Trail,隐藏
10,拳掌,0,十段锦长拳,一套养生健体之古拳法，注重与内劲配合,7,0.9,拳掌1,,经脉2;拳掌2;内力0.2,拳掌5,"0,1,1","7,0,0",恢复0.06,3,-1,0,腹15,腹12,,,skill0_0,,打击-Target-Grid-Happen,拳,Same,FALSE,0,0
11,拳掌,0,禁军拳术,军中流传的基础拳法,12,1,经脉1,,拳掌2,拳掌10,"0,1,1","0,0,0",,4,-1,0,头16,头4,,,skill0_0,,三连打击-Target-Grid-Happen,拳,Same,FALSE,0,0
12,剑法,0,御剑要术,击、刺、格、洗四种基础剑招的汇总口诀,10,1.1,剑法1,,灵巧2;剑法1;内力0.1,,"4,0,0","4,1,2",命中0.04,5,-1,0,手14,手10,,,skill1_1,,劈砍-Target-Grid-Happen,剑,Same,FALSE,0,0
13,剑法,0,木剑式,初学者常用木剑修炼的剑招，注重防御,8,0.9,剑法1,,经脉2;剑法2;内力0.2,剑法5,"2,1,2","7,0,0",通脉0.06,3,-1,0,足8,手8;足8,,,skill1_2,,三连劈砍-Target-Grid-Happen;旋叶-Target-Grid-Happen,剑,Same,FALSE,0,0
14,剑法,0,禁军剑术,军中流传的基础剑法,12,1,灵巧1,,剑法2,剑法10,"4,0,0","4,1,2",,4,-1,0,腹16,腹4,,,skill1_0,,穿刺_风电-Target-Grid-Happen,剑,Same,FALSE,0,0
15,刀法,0,拔刀功,拔刀，劈刀，收刀，只此最简单的动作，却是一切刀法之基,10,1.1,刀法1,,体质2;刀法1;内力0.1,,"4,0,0","5,1,2",暴击0.04,5,-1,0,心14,心10,,,skill2_1,,三连剑影小-Target-Grid-Happen,刀,Same,FALSE,0,0
16,刀法,0,劈柴刀法,农家劈砍柴火之刀法,9,0.9,刀法1,,力道2;刀法2;内力0.2,刀法5,"4,0,0","8,1,3",蓄力0.06,3,-1,0,足18,足6,,,skill2_1,,穿刺_土叶-Target-Grid-Happen;叶轮-Target-Grid-Happen,刀,Same,FALSE,0,0
17,刀法,0,禁军刀术,军中流传的基础刀法,12,1,力道1,,刀法2,刀法10,"4,0,0","4,1,2",,4,-1,0,手18,手2,,,skill2_0,,劈砍_蓝-Target-Grid-Happen,刀,Same,FALSE,0,0
18,长兵,0,太祖棍法,相传本朝太祖所创的基础棍法,10,1.1,长兵1,,意志2;长兵1;内力0.1,,"1,1,1","7,0,0",连击0.04,5,-1,0,头15,头10,,,skill3_1,,打击5-Target-Grid-Happen,长兵,Same,FALSE,0,0
19,长兵,0,猎户叉功,猎户常用的铁叉招式,8,0.9,长兵1,,体质2;长兵2;内力0.2,长兵5,"4,0,0","4,1,3",外伤0.06,3,-1,0,心16,心10,,,skill3_0,,劈砍_裂地-Target-Grid-Happen,长兵,Distance,FALSE,0,0
20,长兵,0,禁军枪术,军中流传的基础枪法,12,1,体质1,,长兵2,长兵10,"4,0,0","4,2,3",,4,-1,0,胸16,胸4,,,skill3_0,,穿刺_灰黄-Target-Grid-Happen,长兵,Same,FALSE,0,0
21,奇门,0,三路鞭法,分为上中下三路的基本鞭法,10,1.1,奇门1,,智力2;奇门1;内力0.1,,"3,1,1","7,0,0",震脑0.04,5,-1,0,头14,头6,,,skill4_3,,乱刃-Target-Grid-Happen,鞭,Same,FALSE,0,0
22,奇门,0,伐木斧功,据说此功法砍伐木材时省力异常,11,0.9,奇门1,,意志2;奇门2;采伐1,奇门5,"1,1,1","3,0,1",压制0.04,3,-1,0,足15,足10,,,skill2_1,,劈砍_灰-Target-Grid-Happen;叶轮-Target-Grid-Happen,刀,Same,FALSE,0,0
23,奇门,0,禁军钩术,军中流传的基础钩法,9,1,意志1,,奇门2,奇门10,"4,0,0","4,2,3",拉近2,4,-1,0,手13,手12,,,skill4_0,,劈砍_白-Target-Grid-Happen,对刺,Same,FALSE,0,0
24,射术,0,飞镖要诀,一门使用飞镖的基础手法,10,1.1,射术1,,灵巧2;射术1;内力0.1,,"0,2,3","0,0,0",流血0.04,5,-1,0,腹20,腹3,,,skill5_0,1-----0.9,三连劈砍-Target-Grid-Happen,,Same,FALSE,0,0
25,射术,0,飞针要诀,一门使用飞针的基础手法,7,0.9,射术1,,智力2;射术2;内力0.2,射术5,"0,3,5","0,0,0",目盲0.06,3,-1,0,心20,心3,,,skill5_1,4-----0.8,劈砍_多重小-Target-Grid-Happen,,Same,FALSE,0,0
26,射术,0,飞刀要诀,一门使用飞刀的基础手法,12,1,智力1,,射术2,射术10,"1,1,2","0,0,0",,4,-1,0,胸20,胸3,,,skill5_0,2-----0.8,劈砍-Target-Grid-Happen,,Same,FALSE,0,0
27,内功,1,开声贯气法,固气培元，放劲发人，从而增强内息强度之基础内功功法,,1,内功1;力道1,生命上限40;内力上限40;内功6;力道6;命中0.06,,内功15,,,,0,-1,0,,,,,,,,,Same,FALSE,0,0
28,内功,1,气守丹田法,气沉丹田，炼精化气，从而加速经脉流转之基础内功功法,,1.1,内功1;经脉1,内力上限80;内功6;经脉6;回内0.009,,内功20,,,,0,-1,0,,,,,,,,,Same,FALSE,0,0
29,内功,1,舒筋通络法,将内劲灌入经络之中，从而舒展通畅筋骨的基础内功功法,,0.9,内功1;灵巧1,生命上限30;内力上限50;内功6;灵巧6;回血0.006,,内功10,,,,0,-1,0,,,,,,,,,Same,FALSE,0,0
30,内功,1,四段功法,源于少林的内家功法，分为四段，其法至简而其理颇深,,0.8,内功1;智力1,生命上限40;内力上限40;内功6;意志3;智力3;减伤3,,内功10;智力10,,,,0,-1,0,,,,,,,,,Same,FALSE,0,0
31,内功,1,玉带诀,以双臂抱树不断运力拔持的奇特功法，功成者一发力便可将树木连根拔起,,1,力道1;意志1,生命上限20;内力上限60;内功6;力道3;意志3;伤害0.06,,内功15;力道10,,,,0,-1,0,,,,,,,,,Same,FALSE,0,0
32,内功,1,五指点石功,将内劲运于指尖，于石面点指修炼的功法,,1.1,内功1;体质1,生命上限60;内力上限20;内功6;体质6;外伤0.06,,内功15;体质15,,,,0,-1,0,,,,,,,,,Same,FALSE,0,0
33,内功,1,排打硬功,用击扑之法，使筋肉坚实，乃是入门必修之硬气功法,,0.9,内功1;体质1,生命上限80;内功6;体质6;护甲3,,内功10;体质10,,,,0,-1,0,,,,,,,,,Same,FALSE,0,0
34,内功,1,鞭气劲,将周身力道如鞭子般连续甩出的功法，需要一定的巧劲运用,,1.2,灵巧1;智力1,生命上限70;内力上限10;内功6;灵巧3;智力3;连击0.06,,内功15;灵巧15,,,,0,-1,0,,,,,,,,,Same,FALSE,0,0
35,内功,1,实腹鼓气功,将内劲在腹部循环，气鼓如吹豕之法，可增强经脉运行之效率,,1,内功1;经脉1,生命上限10;内力上限70;内功6;经脉6;速度0.06,,内功10;经脉15,,,,0,-1,0,,,,,,,,,Same,FALSE,0,0
36,内功,1,热炎功,修习时周身发热，如置身火窖之中，非意志坚定者难以修炼,,1.1,内功1;意志1,生命上限50;内力上限30;内功6;意志6;灼烧0.06,,内功15;意志15,,,,0,-1,0,,,,,,,,,Same,FALSE,0,0
37,轻功,1,草上飞,身轻体快的奔跑之法，其名有夸大之嫌,,0.9,轻功1;灵巧1,轻功6;灵巧6;速度0.06,,轻功10,,,,0,-1,0,,,,,,,,,Same,FALSE,0,0
38,轻功,1,泥潭功,在粘稠至极的泥潭之中练习的步法，对体质与毅力均有锤炼之功效,,1.1,体质1;意志1,轻功3;体质3;意志6;卸力0.06,,轻功15;体质10,,,,0,-1,0,,,,,,,,,Same,FALSE,0,0
39,轻功,1,走壁功,修习者借由巧劲与内功，可在光滑墙壁上踏行数丈远，因而得名,,1,轻功1;经脉1,轻功6;灵巧3;经脉3;神行0.06,,轻功10;灵巧15,,,,0,-1,0,,,,,,,,,Same,FALSE,0,0
40,轻功,1,鲤鱼跃龙门,着重修炼跳跃能力的功法，使用者身形腾空，如同鲤鱼飞跃,,1.1,轻功1;力道1,轻功6;力道3;灵巧3;蓄力0.06,,轻功15;灵巧10,,,,0,-1,0,,,,,,,,,Same,FALSE,0,0
41,轻功,1,一线穿,修炼者可在绳索乃至极细的丝线上行走，乃是杂耍之人流传的把式,,1,轻功1;经脉1,轻功6;经脉6;轻灵0.06,,轻功15;经脉10,,,,0,-1,0,,,,,,,,,Same,FALSE,0,0
42,轻功,1,雁回旋,使用此步法者身形飞舞，能够如大雁般在空中回旋，少顷才缓缓落下,,1,轻功1;智力1,轻功6;灵巧3;智力3;飘逸0.06,,轻功10;智力10,,,,0,-1,0,,,,,,,,,Same,FALSE,0,0
43,轻功,1,跑铁索,在铁索之上穿行跳跃，如履平地的轻功法门,,0.9,轻功1;意志1,体力上限20;轻功6;意志4;体质4,,轻功10;意志10,,,,0,-1,0,,,,,,,,,Same,FALSE,0,0
44,轻功,1,穿帘步,一套讲求平身横窜的功法，有如飞燕穿帘之势,,0.9,轻功1;灵巧1,轻功3;灵巧9;蓄力0.06,,轻功15,,,,0,-1,0,,,,,,,,,Same,FALSE,0,0
45,轻功,1,缸沿功,在错落排列的缸沿之上横移纵跳，日夜苦练方能修炼而成的步法,,1.1,轻功1;灵巧1,轻功6;灵巧3;意志3;命中0.06,,轻功20,,,,0,-1,0,,,,,,,,,Same,FALSE,0,0
46,轻功,1,铁球滚,一套注重力道运用的轻功法门，需要推动数百斤重的石球或铁球行走，奔跑，乃至上下坡,,1.2,轻功1;力道1,轻功3;力道3;智力3;体质3;回体1,,轻功15;力道15,,,,0,-1,0,,,,,,,,,Same,FALSE,0,0
47,绝技,1,开碑劲,将全身气劲运于手臂使出，势不可挡，功力高强者甚至能开碑碎石,,1,绝技1;力道1,绝技6;力道3;经脉3;暴击0.06,,绝技10;力道15,,,,0,-1,0,,,,,,,,,Same,FALSE,0,0
48,绝技,1,龟甲功,将全身力道绷紧，用以抵抗乃至反弹来袭的攻势，因蓄力时身形弯曲如龟壳而闻名,,0.9,绝技1;体质1,绝技4;体质4;护甲2;减伤3,,绝技10,,,,0,-1,0,,,,,,,,,Same,FALSE,0,0
49,绝技,1,石锁功,将数十斤的石锁折腕上举，或向旁平提，进而练习翻接盘腰等法，可以大大增加修习者的力道与体质,,1.1,力道1;体质1,绝技6;力道6;体质6,,力道10;灵巧10,,,,0,-1,0,,,,,,,,,Same,FALSE,0,0
50,绝技,1,拔山功,将丈许木桩埋入地下，每日用三指紧扣并尽力上提。功成者手腕饱含阴柔之劲，可伤敌于毫厘之间,,1,绝技1;力道1,绝技3;力道9;伤害0.06,,绝技15;力道10,,,,0,-1,0,,,,,,,,,Same,FALSE,0,0
51,绝技,1,倒踢腿,此功法脱胎于卖艺把式，以脚掌发力，向后上方快速倒踢，腿脚之间结成环形，令人眼花缭乱,,0.9,绝技1;轻功1,绝技3;轻功3;灵巧6;反击0.06,,绝技10;轻功10,,,,0,-1,0,,,,,,,,,Same,FALSE,0,0
52,绝技,1,柔身术,着重于锻炼身体柔坚韧的功法，练成者的关节与肢体能以极大的幅度弯曲摆动,,1.1,绝技1;灵巧1,绝技4;灵巧4;意志4;闪避0.06,,绝技15;意志10,,,,0,-1,0,,,,,,,,,Same,FALSE,0,0
53,绝技,1,拔钉功,修炼此功法需用三指拔出钉入木板的一百单八枚铁钉。练成者三指抓出，便似有千斤之力,,1,绝技1;意志1,绝技4;力道4;意志4;压制0.06,,绝技15,,,,0,-1,0,,,,,,,,,Same,FALSE,0,0
54,绝技,1,闪战法,专供练习闪转腾挪的功法，又练习心眼和拳脚的灵敏度，是武林人士经常练习的一门绝技,,0.9,灵巧1;智力1,绝技4;灵巧4;智力4;命中0.06,,绝技10;灵巧10,,,,0,-1,0,,,,,,,,,Same,FALSE,0,0
55,绝技,1,铁牛犁地,起源于农家的强身健体之功法，修习者身形拉伸起伏，如同黄牛犁地,,0.8,绝技1;体质1,生命上限12;绝技6;体质6,,绝技10;体质10,,,,0,-1,0,,,,,,,,,Same,FALSE,0,0
56,绝技,1,乱弹琵琶,四指并用陆续弹击，有如音乐家弹琵琶之指法，可令使用者的外功招式更加变幻莫测,,1.2,智力1;经脉1,绝技3;智力6;经脉3;负面加成0.06,,绝技20;智力10,,,,0,-1,0,,,,,,,,,Same,FALSE,0,0
57,拳掌,1,八卦掌法,八卦门成名掌法，掌势暗含八卦之理，在江湖中也多有流传,12,1.1,拳掌1;经脉1,,经脉1;拳掌2;内力0.1,拳掌15,"1,1,1","0,0,0",命中0.06,11,-1,0,心17,心11,,,skill0_1,,打击-Target-Grid-Happen;八卦爆-Target-Grid-Happen,拳,Same,FALSE,0,0
58,拳掌,1,通臂拳,以“两臂相通”的通臂劲而著称的一套拳法，力道由肩发出，通过手肘至拳上，以成通臂之势,10,1,拳掌1;力道1,,力道2;拳掌2;内力0.2,拳掌15;力道15,"4,0,0","4,1,2",伤害0.06,9,-1,0,胸15,胸13,,,skill0_0,,打击4-Target-Grid-Happen,拳,Same,FALSE,0,0
59,拳掌,1,燕青拳,相传由燕青所创，快慢结合，灵活多变，是一套江湖人士常用的拳法,13,0.8,拳掌1;灵巧1,,力道1;灵巧1;拳掌2,拳掌10;力道10,"0,1,1","0,0,0",,10,-1,0,头17,头11,,,skill0_0,,打击2-Target-Grid-Happen,拳,Same,FALSE,0,0
60,拳掌,1,野狐拳,长白山人观察野狐缠斗猎犬而悟出的拳法，招式多为虚招，意在智取而非力胜,8,1.1,拳掌1;智力1,,智力1;拳掌2;内力0.1,拳掌10;智力15,"1,1,1","7,0,0",断腕0.1,8,-1,0,手15,手13,,,skill0_0,,爪痕-Target-Grid-Happen,拳,Same,FALSE,0,0
61,拳掌,1,螳螂拳,此拳法手型独特，如螳螂前爪般勾起，招式灵活迅速，讲求以螳螂捕蝉之势制敌,12,1.2,拳掌1;灵巧1,,灵巧1;拳掌2;内力0.1,拳掌20;灵巧15,"1,1,2","0,0,0",虚弱0.06,10,-1,0,头20,头8,,,skill0_0,,乱斩-Target-Grid-Happen,拳,Same,FALSE,0,0
62,拳掌,1,八极拳,短打拳法，其动作刚猛，招式朴实无华但发力迅速。由体质刚健者使出，威力更大,12,0.9,拳掌1;体质1,,体质1;拳掌2;内力0.1,拳掌15;体质10,"1,1,1","0,0,0",活血0.06,9,-1,0,腹18,腹10,,,skill0_0,,打击3-Target-Grid-Happen,拳,Same,FALSE,0,0
63,拳掌,1,赤尻连拳,以猴拳为基础，讲求近身缠斗的小擒拿手法，很适合内力根基薄弱者使用,13,0.9,拳掌1;灵巧1,,拳掌3,拳掌10,"0,1,1","7,0,0",连绵0.02,8,-1,0,手17,手11,,,skill0_0,,旋叶-Target-Grid-Happen;三连打击-Target-Grid-Happen,拳,Same,FALSE,0,0
64,拳掌,1,连环掌法,一套注重防守与寻找敌人破绽的掌法，掌势自如收发，连绵不绝,12,1,拳掌1;意志1,,意志1;拳掌2;内力0.1,拳掌15;意志10,"0,1,1","7,0,0",连击0.06,10,-1,0,心15,心13,,,skill0_1,,战轮-Target-Grid-Happen,拳,Same,FALSE,0,0
65,拳掌,1,岳家拳,用于军中练兵作战的拳法，招式刚猛且对内功的要求很低,14,0.9,拳掌1;力道1,,拳掌2,拳掌5,"0,1,1","0,0,0",眩晕0.02,9,-1,0,胸20,胸5,,,skill0_0,,打击5-Target-Grid-Happen,拳,Same,FALSE,0,0
66,拳掌,1,形意拳,武林人士常用拳法，招式简洁朴实，严密紧凑，资质较低者也能顺利修习,10,0.8,拳掌1;经脉1,,经脉2;拳掌2;内力0.2,拳掌10;经脉10,"4,0,0","4,1,2",蓄力0.06,8,-1,0,腹16,腹12,,,skill0_0,,打击6-Target-Grid-Happen;叶轮-Target-Grid-Happen,拳,Same,FALSE,0,0
67,剑法,1,八卦剑法,八卦门成名剑法，剑势暗含八卦之理，在江湖中也多有流传,12,1,剑法1;智力1,,智力1;剑法2;内力0.1,剑法15;智力10,"4,0,0","4,1,2",命中0.06,10,-1,0,手16,手12,,,skill1_1,,三连劈砍-Target-Grid-Happen;八卦爆-Target-Grid-Happen,剑,Same,FALSE,0,0
68,剑法,1,连环剑法,一套注重防守与寻找敌人破绽的剑法，剑势自如收发，连绵不绝,13,1.1,剑法1;经脉1,,剑法2;内力0.1,剑法20,"0,1,2","0,0,0",连击0.04,11,-1,0,腹18,腹8,,,skill1_2,,旋风-Target-Grid-Happen,剑,Same,FALSE,0,0
69,剑法,1,雷震剑法,将内劲运于剑锋之上，一剑刺出犹如雷霆之势,14,1.2,剑法1;经脉1,,经脉2;剑法2;内力0.2,剑法20;经脉15,"4,0,0","4,1,2",雷电0.02,13,-1,0,心20,心6,,,skill1_0,,闪电-Target-Grid-Happen,剑,Same,FALSE,0,0
70,剑法,1,白马剑法,攻守兼备的剑法，使用者如同白马般纵横驰骋，力道非凡,12,1.1,剑法1;力道1,,力道1;剑法2;内力0.1,剑法15;力道10,"4,0,0","4,1,3",伤害0.06,10,-1,0,足18,足10,,,skill1_0,,气流-Target-Grid-Happen,剑,Same,FALSE,0,0
71,剑法,1,云雾剑法,这套剑招灵巧绵密，如同云雾般无孔不入，无处不在，不需内功基础便能发挥效力,10,0.9,剑法1;灵巧1,,剑法3,剑法10,"1,1,1","7,0,0",迟缓0.08,8,-1,0,胸16,胸12,,,skill1_2,,魔雾-Target-Grid-Happen;劈砍_多重-Target-Grid-Happen,剑,Same,FALSE,0,0
72,剑法,1,无量剑法,注重内功修为之剑法，其内劲收发方式繁多且可以自由组合，因此得“无量”之名,12,1,剑法1;经脉1,,经脉1;剑法2;内力0.1,剑法15,"2,1,2","7,0,0",通脉0.06,10,-1,0,头16,头12,,,skill1_1,,战轮-Target-Grid-Happen,剑,Same,FALSE,0,0
73,剑法,1,迅剑诀,以攻势迅捷而闻名，若使用者轻功高强，则能发挥出更大威力,12,1,剑法1;轻功1,,灵巧1;剑法1;轻功2,剑法15;轻功10,"4,0,0","4,1,3",急速0.06,11,-1,0,心18,心10,,,skill1_0,,快刃-Target-Grid-Happen,剑,Same,FALSE,0,0
74,剑法,1,闪剑,追求极高出剑速度的剑法，其势若闪电，一去不返，但也因此导致防御薄弱,10,0.9,剑法1;灵巧1,,灵巧3;剑法1;轻功1,剑法10;灵巧15,"4,0,0","4,1,4",破招0.06,9,-1,0,腹20,腹8,,,skill1_0,,闪光-Target-Grid-Happen,剑,Same,FALSE,0,0
75,剑法,1,开阖剑术,这套剑法起源于行伍，大开大阖，势大力沉，非身强体壮者难以发挥其威力,12,0.9,剑法1;体质1,,体质1;剑法2;内力0.1,剑法10;体质15,"1,1,1","7,0,0",外伤0.06,11,-1,0,头19,头9,,,skill1_1,,圆斩电-Target-Grid-Happen,剑,Same,FALSE,0,0
76,剑法,1,迎风剑法,相传是高人迎狂风舞剑时领悟的剑法，其招式动静结合，攻守兼备,12,1.1,剑法1;意志1,,意志1;剑法2;内力0.1,剑法15;意志10,"4,0,0","6,1,2",不屈0.06,9,-1,0,手16,手12,,,skill1_2,,劈砍_灰-Target-Grid-Happen,剑,Same,FALSE,0,0
77,刀法,1,八卦刀法,八卦门成名刀法，刀势暗含八卦之理，在江湖中也多有流传,14,1,刀法1;力道1,,刀法2,刀法20,"4,0,0","4,1,2",命中0.02,12,-1,0,头16,头10,,,skill2_1,,劈砍_黑白-Target-Grid-Happen;八卦爆-Target-Grid-Happen,刀,Same,FALSE,0,0
78,刀法,1,六合刀法,朴实无华，劲力浑厚，乃是一套实用性极强的江湖人士常用刀法,14,0.9,刀法1;体质1,,体质1;刀法2,刀法15;体质10,"4,0,0","4,1,2",,10,-1,0,腹18,腹7,,,skill2_1,,劈砍_黄-Target-Grid-Happen,刀,Same,FALSE,0,0
79,刀法,1,螳螂刀法,使用者需要反手持刀，势如螳螂，其招式诡谲难测，追求一招毙敌,12,1.1,刀法1;体质1,,灵巧2;体质1;刀法1,灵巧15;体质10,"3,1,1","7,0,0",暴击0.06,9,-1,0,心20,心9,,,skill2_0,,火轮-Target-Grid-Happen,刀,Same,FALSE,0,0
80,刀法,1,劈挂刀法,据说脱胎于苗刀刀法之中，其招式大开大合，气势磅礴，颇有苗人剽悍之风,11,1,刀法1;力道1,,力道2;刀法2;内力0.1,刀法10;力道15,"2,1,2","7,0,0",压制0.06,10,-1,0,胸19,胸11,,,skill2_2,,劈砍_灰震地-Target-Grid-Happen,刀,Same,FALSE,0,0
81,刀法,1,铁门闩刀法,以防守胸腹为主的刀法，犹如一道铁门栓横于身前，令来袭者处处碰壁,10,0.9,刀法1;体质1,,体质2;刀法2;内力0.2,刀法15,"1,1,1","7,0,0",霸体0.08,9,-1,0,胸14,胸14,,,skill2_1,,战轮-Target-Grid-Happen,刀,Same,FALSE,0,0
82,刀法,1,辛酉刀法,需要双手握刀的刀法，以身催刀，刀随身转，使用者悟性越高，刀势越难于预料,12,1.2,力道1;智力1,,力道1;智力2;刀法1,刀法15;智力15,"4,0,0","5,1,2",重碾0.06,10,-1,0,头18,头10,,,skill2_2,,劈砍_紫-Target-Grid-Happen,刀,Same,FALSE,0,0
83,刀法,1,雁行刀,注重刚柔并济之刀法，因其招式不疾不徐，横平竖直，观之有如雁行而闻名,13,1.1,刀法1;灵巧1,,力道1;灵巧1;刀法2,刀法15;灵巧10,"4,0,0","5,2,2",命中0.06,11,-1,0,心16,心12,,,skill2_1,,十字斩-Target-Grid-Happen,刀,Same,FALSE,0,0
84,刀法,1,地堂刀法,一套与各种地趟动作结合而成的下盘刀法，招式之间跌扑滚摔，虽然不甚雅观，实则攻守兼备,11,1,刀法1;意志1,,灵巧1;意志2;刀法1,刀法10;意志15,"0,1,1","7,0,0",不屈0.06,9,-1,0,足14,足14,,,skill2_2,,穿刺_灰黄-Target-Grid-Happen,刀,Same,FALSE,0,0
85,刀法,1,青龙刀法,这套江湖人士常用刀法以攻击见长，刀势结合内劲长驱直入，如同青龙出海勇猛难当,12,0.9,刀法1;经脉1,,经脉1;刀法2;内力0.1,刀法10,"4,0,0","4,1,2",破甲0.06,11,-1,0,心18,心12,,,skill2_1,,蟠龙-Target-Grid-Happen,刀,Same,FALSE,0,0
86,刀法,1,南山刀法,南山以寿闻名，这套刀法也恰巧稳重持正，以防守闻名。如由内功高强者使出，其威力亦不可小视,13,1.1,刀法1;经脉1,,经脉2;刀法1;内力0.3,刀法15;经脉15,"4,0,0","5,1,2",横练0.06,12,-1,0,足15,足13,,,skill2_0,,劈砍_橙紫-Target-Grid-Happen,刀,Same,FALSE,0,0
87,长兵,1,八卦棍法,八卦门成名棍法，棍势暗含八卦之理，在江湖中也多有流传,12,1,长兵1;经脉1,,经脉1;长兵2;内力0.1,长兵15;经脉15,"4,0,0","4,2,3",命中0.04,10,-1,0,头16,头12,,,skill3_2,,八卦升-Target-Grid-Happen;三连打击-Target-Grid-Happen,长兵,Same,FALSE,0,0
88,长兵,1,罗家枪法,罗家多用枪之高手，这是其家传的一套入门枪法，无需多少内力便能使出,14,1.2,长兵1;体质1,,长兵2,长兵20,"4,0,0","4,1,2",活血0.02,11,-1,0,胸16,胸10,,,skill3_0,,乱斩-Target-Grid-Happen,长兵,Same,FALSE,0,0
89,长兵,1,灵猿棍法,源于山间猿猴动作的棍法，使用者装如猿猴，左右横跳，棍招亦灵活多变，令敌人防不胜防,12,1.1,长兵1;灵巧1,,灵巧1;长兵2;内力0.1,长兵15;灵巧15,"4,0,0","6,1,3",疲劳0.06,10,-1,0,手17,手11,,,skill3_2,,劈砍_白-Target-Grid-Happen;叶轮-Target-Grid-Happen,长兵,Distance,FALSE,0,0
90,长兵,1,五郎棍法,由行伍枪法演化而来的棍法，掩去枪法之锋芒，化为绵密之守势，使用长兵之人多有修习,11,0.9,长兵1;意志1,,意志2;长兵1,长兵10;意志15,"0,1,1","7,0,0",,9,-1,0,足15,足13,,,skill3_1,,旋棍-Target-Grid-Happen;旋风-Target-Grid-Happen,长兵,Same,FALSE,0,0
91,长兵,1,形意枪,武林人士常用枪法，招式简洁朴实，严密紧凑，资质较低者也能顺利修习,13,1,长兵1;意志1,,意志1;长兵2,长兵10,"4,0,0","4,2,3",伤害0.02,10,-1,0,腹16,腹12,,,skill3_0,,爪痕-Target-Grid-Happen,长兵,Same,FALSE,0,0
92,长兵,1,中平枪法,讲求顶平肩平脚平枪平“四平”之枪法，平直穿插，去势如箭，尽管招式简单，却又难以招架,12,0.9,力道1;意志1,,力道2;意志1;长兵1,长兵15,"4,0,0","4,1,3",命中0.06,9,-1,0,心17,心11,,,skill3_0,,十字斩-Target-Grid-Happen,长兵,Distance,FALSE,0,0
93,长兵,1,八母枪术,“封闭提掳拿拦还缠”八式乃一切枪术之基本，其生出的组合又变化万千，因此以八母闻名,12,1.1,长兵1;智力1,,力道1;智力1;长兵2,长兵15;智力10,"1,1,1","7,0,0",弱点0.06,11,-1,0,腹16,腹12,,,skill3_2,,劈砍_蓝-Target-Grid-Happen,长兵,Same,FALSE,0,0
94,长兵,1,杨家枪法,杨家多猛将，其中不乏用枪之高手，这是其家传的一套入门枪法,12,1,长兵1;体质1,,体质1;长兵2;内力0.1,长兵15;体质10,"2,1,2","7,0,0",外伤0.06,10,-1,0,足19,足9,,,skill3_0,,火轮-Target-Grid-Happen,长兵,Distance,FALSE,0,0
